date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:17:48	268586/268586	---MCZ	200	added ('OK')	text/html	etag:W/%22659dcfb1-4192a%22	https://uomo-html.flexkitux.com/Demo10/index.html	C:/My%20Web%20Sites/ecommerce/uomo-html.flexkitux.com/Demo10/index.html	(from )
15:17:49	123/123	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Feb%202024%2009:46:36%20GMT	https://uomo-html.flexkitux.com/robots.txt		(from )
15:17:50	13917/13917	---M--	200	added ('OK')	text/css	etag:%22653e73d6-365d%22	https://uomo-html.flexkitux.com/Demo10/css/plugins/swiper.min.css	C:/My%20Web%20Sites/ecommerce/uomo-html.flexkitux.com/Demo10/css/plugins/swiper.min.css	(from https://uomo-html.flexkitux.com/Demo10/index.html)
15:17:50	16440/16440	---M--	200	added ('OK')	text/css	etag:%22653e73d6-4038%22	https://uomo-html.flexkitux.com/Demo10/css/plugins/jquery.fancybox.css	C:/My%20Web%20Sites/ecommerce/uomo-html.flexkitux.com/Demo10/css/plugins/jquery.fancybox.css	(from https://uomo-html.flexkitux.com/Demo10/index.html)
15:17:51	1744/1744	---M--	200	added ('OK')	image/png	etag:%226518e001-6d0%22	https://uomo-html.flexkitux.com/images/logo.png	C:/My%20Web%20Sites/ecommerce/uomo-html.flexkitux.com/images/logo.png	(from https://uomo-html.flexkitux.com/Demo10/index.html)
15:17:52	169991/169991	---MCZ	200	added ('OK')	text/html	etag:W/%22659dcfb1-29807%22	https://uomo-html.flexkitux.com/Demo10/shop1.html	C:/My%20Web%20Sites/ecommerce/uomo-html.flexkitux.com/Demo10/shop1.html	(from https://uomo-html.flexkitux.com/Demo10/index.html)
15:17:54	155228/155228	---MCZ	200	added ('OK')	text/html	etag:W/%22659dcfb1-25e5c%22	https://uomo-html.flexkitux.com/Demo10/shop2.html	C:/My%20Web%20Sites/ecommerce/uomo-html.flexkitux.com/Demo10/shop2.html	(from https://uomo-html.flexkitux.com/Demo10/index.html)
15:17:54	157768/157768	---MCZ	200	added ('OK')	text/html	etag:W/%22659dcfb1-26848%22	https://uomo-html.flexkitux.com/Demo10/shop3.html	C:/My%20Web%20Sites/ecommerce/uomo-html.flexkitux.com/Demo10/shop3.html	(from https://uomo-html.flexkitux.com/Demo10/index.html)
15:17:55	156709/156709	---MCZ	200	added ('OK')	text/html	etag:W/%22659dcfb1-26425%22	https://uomo-html.flexkitux.com/Demo10/shop4.html	C:/My%20Web%20Sites/ecommerce/uomo-html.flexkitux.com/Demo10/shop4.html	(from https://uomo-html.flexkitux.com/Demo10/index.html)
15:17:56	167769/167769	---MCZ	200	added ('OK')	text/html	etag:W/%22659dcfb1-28f59%22	https://uomo-html.flexkitux.com/Demo10/shop6.html	C:/My%20Web%20Sites/ecommerce/uomo-html.flexkitux.com/Demo10/shop6.html	(from https://uomo-html.flexkitux.com/Demo10/index.html)
15:17:57	146169/146169	---MCZ	200	added ('OK')	text/html	etag:W/%22659dcfb1-23af9%22	https://uomo-html.flexkitux.com/Demo10/shop5.html	C:/My%20Web%20Sites/ecommerce/uomo-html.flexkitux.com/Demo10/shop5.html	(from https://uomo-html.flexkitux.com/Demo10/index.html)
15:17:57	133224/133224	---MCZ	200	added ('OK')	text/html	etag:W/%22659dcfb1-20868%22	https://uomo-html.flexkitux.com/Demo10/shop7.html	C:/My%20Web%20Sites/ecommerce/uomo-html.flexkitux.com/Demo10/shop7.html	(from https://uomo-html.flexkitux.com/Demo10/index.html)
15:17:57	170730/170730	---MCZ	200	added ('OK')	text/html	etag:W/%22659dcfb1-29aea%22	https://uomo-html.flexkitux.com/Demo10/shop8.html	C:/My%20Web%20Sites/ecommerce/uomo-html.flexkitux.com/Demo10/shop8.html	(from https://uomo-html.flexkitux.com/Demo10/index.html)
15:17:58	249548/249548	---MCZ	200	added ('OK')	text/html	etag:W/%22659dcfb1-3cecc%22	https://uomo-html.flexkitux.com/Demo10/shop10.html	C:/My%20Web%20Sites/ecommerce/uomo-html.flexkitux.com/Demo10/shop10.html	(from https://uomo-html.flexkitux.com/Demo10/index.html)
15:17:58	155468/155468	---MCZ	200	added ('OK')	text/html	etag:W/%22659dcfb1-25f4c%22	https://uomo-html.flexkitux.com/Demo10/shop9.html	C:/My%20Web%20Sites/ecommerce/uomo-html.flexkitux.com/Demo10/shop9.html	(from https://uomo-html.flexkitux.com/Demo10/index.html)
15:17:59	152750/152750	---MCZ	200	added ('OK')	text/html	etag:W/%22659dcfb1-254ae%22	https://uomo-html.flexkitux.com/Demo10/shop11.html	C:/My%20Web%20Sites/ecommerce/uomo-html.flexkitux.com/Demo10/shop11.html	(from https://uomo-html.flexkitux.com/Demo10/index.html)
15:17:59	160512/160512	---MCZ	200	added ('OK')	text/html	etag:W/%22659dcfb1-27300%22	https://uomo-html.flexkitux.com/Demo10/product2_variable.html	C:/My%20Web%20Sites/ecommerce/uomo-html.flexkitux.com/Demo10/product2_variable.html	(from https://uomo-html.flexkitux.com/Demo10/index.html)
15:18:00	160573/160573	---MCZ	200	added ('OK')	text/html	etag:W/%22659dcfb1-2733d%22	https://uomo-html.flexkitux.com/Demo10/product7_v2.html	C:/My%20Web%20Sites/ecommerce/uomo-html.flexkitux.com/Demo10/product7_v2.html	(from https://uomo-html.flexkitux.com/Demo10/index.html)
15:18:01	417860/417860	---M--	200	added ('OK')	text/css	etag:%226582f1e5-66044%22	https://uomo-html.flexkitux.com/Demo10/css/style.css	C:/My%20Web%20Sites/ecommerce/uomo-html.flexkitux.com/Demo10/css/style.css	(from https://uomo-html.flexkitux.com/Demo10/index.html)
15:18:01	158022/158022	---MCZ	200	added ('OK')	text/html	etag:W/%22659dcfb1-26946%22	https://uomo-html.flexkitux.com/Demo10/product9_v4.html	C:/My%20Web%20Sites/ecommerce/uomo-html.flexkitux.com/Demo10/product9_v4.html	(from https://uomo-html.flexkitux.com/Demo10/index.html)
15:18:01	146997/146997	---MCZ	200	added ('OK')	text/html	etag:W/%22659dcfb1-23e35%22	https://uomo-html.flexkitux.com/Demo10/product10_v5.html	C:/My%20Web%20Sites/ecommerce/uomo-html.flexkitux.com/Demo10/product10_v5.html	(from https://uomo-html.flexkitux.com/Demo10/index.html)
15:18:01	160577/160577	---MCZ	200	added ('OK')	text/html	etag:W/%22659dcfb1-27341%22	https://uomo-html.flexkitux.com/Demo10/product8_v3.html	C:/My%20Web%20Sites/ecommerce/uomo-html.flexkitux.com/Demo10/product8_v3.html	(from https://uomo-html.flexkitux.com/Demo10/index.html)
